0.019	0.057	0.120	0.207	0.283	0.373	0.416	0.480	0.531	0.619	0.707	0.806	0.882	1.039	1.158	1.262	1.389	1.532	1.595	1.724	1.913	2.100	2.178	2.366	2.394	2.509	2.596	2.739	2.869	2.985	3.025	3.216	3.418	3.629	3.679	3.771	3.870	3.963	4.002	4.149	4.198	4.394	4.489	4.594	4.649	4.738	4.831	5.032	5.105	5.279	5.366	
0.000	0.002	0.044	0.104	0.173	0.253	0.295	0.359	0.401	0.476	0.564	0.663	0.738	0.891	0.998	1.098	1.225	1.355	1.418	1.546	1.735	1.923	2.000	2.189	2.216	2.323	2.404	2.546	2.676	2.790	2.830	3.021	3.207	3.418	3.468	3.560	3.659	3.752	3.791	3.937	3.987	4.183	4.278	4.383	4.438	4.527	4.619	4.821	4.894	5.068	5.155	
0.000	0.000	0.019	0.075	0.144	0.220	0.262	0.326	0.368	0.443	0.531	0.630	0.705	0.855	0.962	1.062	1.188	1.319	1.381	1.510	1.699	1.887	1.964	2.152	2.180	2.283	2.364	2.506	2.636	2.750	2.790	2.981	3.166	3.378	3.428	3.520	3.619	3.712	3.751	3.897	3.947	4.143	4.238	4.343	4.398	4.487	4.579	4.781	4.854	5.028	5.115	
0.000	0.000	0.000	0.009	0.053	0.117	0.149	0.199	0.239	0.314	0.402	0.492	0.551	0.689	0.795	0.895	1.022	1.152	1.215	1.339	1.508	1.693	1.766	1.955	1.981	2.079	2.161	2.302	2.432	2.547	2.586	2.778	2.963	3.174	3.224	3.316	3.406	3.499	3.538	3.685	3.734	3.921	4.010	4.114	4.169	4.258	4.351	4.553	4.625	4.799	4.881	
0.000	0.000	0.000	0.000	0.008	0.048	0.078	0.128	0.167	0.227	0.307	0.392	0.451	0.589	0.691	0.786	0.906	1.028	1.090	1.212	1.381	1.561	1.635	1.823	1.850	1.947	2.029	2.170	2.285	2.395	2.434	2.626	2.811	3.022	3.072	3.164	3.253	3.346	3.384	3.531	3.581	3.767	3.856	3.961	4.016	4.105	4.197	4.399	4.471	4.645	4.723	
0.000	0.000	0.000	0.000	0.000	0.006	0.025	0.061	0.090	0.146	0.213	0.289	0.348	0.472	0.570	0.665	0.775	0.897	0.960	1.082	1.244	1.413	1.487	1.675	1.702	1.799	1.881	2.015	2.128	2.238	2.277	2.469	2.653	2.865	2.915	2.996	3.084	3.177	3.215	3.362	3.412	3.598	3.687	3.792	3.847	3.936	4.028	4.230	4.296	4.470	4.548	
0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.022	0.049	0.092	0.155	0.231	0.290	0.398	0.495	0.591	0.701	0.823	0.886	1.000	1.153	1.323	1.396	1.584	1.611	1.709	1.790	1.924	2.037	2.147	2.186	2.372	2.548	2.759	2.809	2.889	2.977	3.070	3.108	3.255	3.305	3.491	3.580	3.684	3.740	3.829	3.921	4.123	4.188	4.362	4.441	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.023	0.061	0.118	0.191	0.247	0.351	0.449	0.545	0.647	0.769	0.832	0.944	1.096	1.266	1.340	1.524	1.549	1.647	1.728	1.860	1.973	2.083	2.122	2.306	2.481	2.693	2.743	2.822	2.910	3.003	3.042	3.188	3.238	3.425	3.514	3.618	3.673	3.762	3.855	4.053	4.117	4.291	4.369	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.024	0.077	0.140	0.191	0.296	0.393	0.477	0.577	0.699	0.761	0.873	1.026	1.195	1.269	1.438	1.464	1.561	1.643	1.775	1.888	1.998	2.037	2.221	2.396	2.607	2.657	2.737	2.825	2.918	2.956	3.103	3.153	3.336	3.425	3.529	3.584	3.673	3.766	3.953	4.016	4.190	4.269	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.039	0.093	0.136	0.241	0.325	0.405	0.505	0.627	0.685	0.788	0.941	1.111	1.184	1.350	1.375	1.473	1.554	1.681	1.794	1.904	1.943	2.119	2.294	2.506	2.556	2.635	2.723	2.816	2.855	3.001	3.051	3.230	3.319	3.424	3.479	3.568	3.660	3.847	3.911	4.085	4.163	
