0.019	0.159	0.310	0.379	0.479	0.546	0.641	0.772	0.873	0.920	1.000	
0.000	0.063	0.214	0.283	0.383	0.450	0.545	0.676	0.777	0.824	0.904	
0.000	0.000	0.071	0.140	0.241	0.307	0.402	0.534	0.635	0.682	0.762	
0.000	0.000	0.000	0.064	0.164	0.231	0.326	0.457	0.558	0.606	0.685	
0.000	0.000	0.000	0.000	0.021	0.088	0.183	0.314	0.415	0.463	0.542	
0.000	0.000	0.000	0.000	0.000	0.006	0.101	0.233	0.334	0.381	0.460	
0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.171	0.272	0.319	0.398	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.162	0.210	0.289	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.074	0.121	0.201	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.083	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.078	
