0.019	0.242	0.623	0.897	1.259	1.486	1.875	2.370	2.821	3.088	3.530	
0.000	0.063	0.348	0.622	0.980	1.187	1.504	1.999	2.450	2.717	3.159	
0.000	0.000	0.071	0.276	0.537	0.698	1.016	1.504	1.942	2.168	2.530	
0.000	0.000	0.000	0.064	0.249	0.410	0.722	1.139	1.577	1.798	2.160	
0.000	0.000	0.000	0.000	0.021	0.115	0.338	0.702	1.051	1.271	1.633	
0.000	0.000	0.000	0.000	0.000	0.006	0.147	0.441	0.779	0.999	1.342	
0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.272	0.609	0.790	1.111	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.298	0.471	0.753	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.074	0.199	0.440	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.166	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.078	
