0.000	0.018	0.044	0.081	0.102	0.154	0.197	0.219	0.250	0.278	0.326	0.402	0.441	0.509	0.562	0.601	0.651	0.713	0.741	0.799	0.840	0.914	0.951	1.015	1.092	1.162	1.234	1.322	1.359	1.428	1.487	1.542	1.607	1.651	1.730	1.792	1.848	1.909	1.971	2.040	2.111	2.190	2.284	2.353	2.424	2.480	2.575	2.664	2.723	2.780	2.869	2.927	2.972	3.076	3.190	3.294	3.389	3.467	3.550	3.606	3.688	3.774	3.867	3.978	4.049	4.153	4.177	4.260	4.310	4.384	4.483	4.548	4.625	4.694	4.717	4.761	4.841	4.918	4.926	4.991	5.086	5.169	5.262	5.344	5.408	5.474	5.515	5.608	5.669	5.740	5.859	5.946	6.021	6.048	6.099	6.127	6.155	6.257	6.347	6.441	6.545	
0.000	0.008	0.032	0.067	0.088	0.140	0.181	0.203	0.234	0.262	0.310	0.385	0.423	0.491	0.544	0.583	0.634	0.695	0.724	0.781	0.823	0.896	0.933	0.997	1.072	1.142	1.214	1.302	1.339	1.408	1.468	1.523	1.587	1.631	1.710	1.772	1.829	1.889	1.951	2.020	2.091	2.171	2.264	2.333	2.405	2.459	2.554	2.643	2.701	2.759	2.847	2.906	2.950	3.055	3.168	3.273	3.367	3.445	3.529	3.585	3.666	3.752	3.845	3.957	4.027	4.131	4.155	4.238	4.288	4.362	4.462	4.527	4.604	4.673	4.695	4.739	4.820	4.896	4.905	4.969	5.064	5.147	5.240	5.322	5.386	5.452	5.493	5.585	5.645	5.717	5.835	5.922	5.998	6.024	6.075	6.103	6.131	6.234	6.323	6.418	6.522	
0.000	0.000	0.008	0.034	0.054	0.101	0.139	0.160	0.191	0.220	0.267	0.333	0.372	0.440	0.493	0.531	0.582	0.644	0.672	0.727	0.768	0.840	0.877	0.940	1.012	1.082	1.154	1.242	1.279	1.348	1.407	1.462	1.524	1.568	1.648	1.709	1.766	1.826	1.888	1.957	2.028	2.108	2.201	2.268	2.336	2.389	2.484	2.574	2.632	2.689	2.778	2.836	2.881	2.986	3.099	3.203	3.298	3.376	3.457	3.513	3.595	3.680	3.773	3.885	3.956	4.059	4.084	4.167	4.216	4.291	4.390	4.455	4.532	4.601	4.623	4.667	4.748	4.824	4.833	4.897	4.993	5.076	5.166	5.248	5.312	5.378	5.417	5.506	5.567	5.638	5.757	5.844	5.920	5.946	5.997	6.025	6.053	6.156	6.245	6.340	6.443	
0.000	0.000	0.000	0.008	0.024	0.062	0.099	0.121	0.149	0.176	0.220	0.285	0.323	0.391	0.436	0.475	0.526	0.588	0.616	0.669	0.710	0.782	0.819	0.882	0.954	1.024	1.096	1.177	1.214	1.283	1.342	1.397	1.457	1.501	1.580	1.642	1.698	1.759	1.821	1.890	1.961	2.041	2.134	2.201	2.269	2.322	2.417	2.506	2.565	2.622	2.711	2.769	2.814	2.918	3.027	3.132	3.222	3.300	3.380	3.436	3.518	3.603	3.697	3.808	3.879	3.983	4.007	4.090	4.139	4.214	4.313	4.378	4.455	4.524	4.547	4.591	4.671	4.748	4.756	4.821	4.916	4.999	5.090	5.171	5.235	5.301	5.341	5.430	5.491	5.562	5.680	5.768	5.843	5.869	5.921	5.948	5.976	6.079	6.168	6.263	6.367	
0.000	0.000	0.000	0.000	0.003	0.030	0.066	0.083	0.107	0.134	0.177	0.241	0.280	0.338	0.383	0.421	0.472	0.534	0.562	0.616	0.656	0.728	0.765	0.825	0.897	0.967	1.033	1.113	1.150	1.219	1.278	1.333	1.393	1.437	1.516	1.578	1.635	1.695	1.757	1.826	1.897	1.977	2.068	2.131	2.198	2.251	2.345	2.433	2.492	2.549	2.638	2.696	2.741	2.845	2.953	3.058	3.148	3.226	3.306	3.362	3.444	3.529	3.623	3.734	3.805	3.909	3.933	4.016	4.065	4.140	4.239	4.304	4.381	4.450	4.473	4.517	4.597	4.674	4.682	4.747	4.842	4.917	5.007	5.089	5.153	5.219	5.258	5.347	5.408	5.479	5.597	5.685	5.760	5.786	5.838	5.866	5.893	5.996	6.085	6.180	6.284	
0.000	0.000	0.000	0.000	0.000	0.009	0.036	0.053	0.078	0.101	0.139	0.202	0.239	0.292	0.336	0.375	0.426	0.487	0.516	0.568	0.609	0.679	0.712	0.770	0.842	0.912	0.978	1.058	1.095	1.163	1.223	1.277	1.336	1.381	1.460	1.522	1.578	1.638	1.700	1.770	1.840	1.919	2.004	2.067	2.134	2.187	2.281	2.370	2.428	2.485	2.574	2.632	2.677	2.782	2.889	2.994	3.083	3.161	3.241	3.297	3.379	3.464	3.558	3.669	3.740	3.844	3.868	3.951	4.000	4.075	4.174	4.239	4.316	4.385	4.405	4.449	4.530	4.604	4.613	4.677	4.771	4.844	4.935	5.016	5.081	5.147	5.185	5.274	5.335	5.406	5.525	5.612	5.687	5.714	5.765	5.793	5.821	5.923	6.013	6.108	6.211	
0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.019	0.038	0.059	0.097	0.147	0.185	0.237	0.281	0.317	0.365	0.421	0.449	0.501	0.542	0.612	0.645	0.702	0.775	0.844	0.908	0.988	1.025	1.090	1.149	1.198	1.257	1.301	1.380	1.442	1.499	1.559	1.621	1.690	1.760	1.836	1.922	1.985	2.052	2.105	2.198	2.287	2.346	2.403	2.492	2.550	2.594	2.696	2.803	2.907	2.990	3.068	3.149	3.205	3.287	3.372	3.465	3.577	3.648	3.751	3.776	3.859	3.908	3.983	4.082	4.147	4.224	4.290	4.310	4.354	4.434	4.509	4.518	4.582	4.676	4.749	4.840	4.921	4.986	5.051	5.090	5.179	5.240	5.311	5.430	5.517	5.592	5.619	5.670	5.698	5.726	5.828	5.918	6.013	6.116	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.029	0.056	0.103	0.132	0.184	0.229	0.261	0.304	0.358	0.386	0.438	0.478	0.548	0.580	0.634	0.706	0.776	0.840	0.919	0.951	1.015	1.074	1.123	1.182	1.226	1.305	1.367	1.423	1.483	1.545	1.611	1.679	1.756	1.841	1.904	1.971	2.025	2.118	2.207	2.265	2.323	2.411	2.470	2.514	2.609	2.716	2.820	2.903	2.981	3.062	3.118	3.199	3.285	3.378	3.489	3.559	3.663	3.688	3.770	3.820	3.895	3.992	4.057	4.134	4.198	4.217	4.262	4.342	4.417	4.426	4.490	4.584	4.657	4.748	4.829	4.893	4.959	4.998	5.087	5.148	5.219	5.338	5.425	5.500	5.526	5.578	5.606	5.634	5.736	5.825	5.920	6.023	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.022	0.049	0.096	0.125	0.177	0.221	0.253	0.296	0.350	0.378	0.430	0.471	0.540	0.572	0.626	0.698	0.767	0.832	0.911	0.943	1.007	1.066	1.114	1.173	1.218	1.297	1.359	1.415	1.475	1.536	1.603	1.671	1.747	1.833	1.896	1.963	2.016	2.109	2.198	2.257	2.314	2.403	2.461	2.506	2.600	2.707	2.812	2.895	2.973	3.053	3.109	3.191	3.276	3.370	3.480	3.551	3.654	3.679	3.761	3.811	3.886	3.983	4.048	4.125	4.189	4.209	4.253	4.333	4.408	4.417	4.481	4.575	4.648	4.739	4.820	4.884	4.950	4.989	5.078	5.139	5.210	5.329	5.416	5.491	5.518	5.569	5.597	5.625	5.727	5.816	5.911	6.014	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.025	0.066	0.095	0.146	0.187	0.217	0.260	0.314	0.342	0.394	0.434	0.498	0.530	0.583	0.656	0.725	0.789	0.868	0.900	0.964	1.023	1.072	1.131	1.175	1.254	1.316	1.367	1.425	1.487	1.554	1.622	1.698	1.784	1.847	1.914	1.967	2.060	2.149	2.208	2.265	2.354	2.412	2.457	2.551	2.658	2.763	2.846	2.922	2.998	3.054	3.136	3.221	3.315	3.424	3.495	3.599	3.623	3.706	3.756	3.830	3.927	3.992	4.069	4.134	4.153	4.197	4.278	4.353	4.361	4.426	4.519	4.593	4.683	4.764	4.829	4.895	4.934	5.023	5.083	5.155	5.273	5.360	5.436	5.462	5.513	5.541	5.569	5.672	5.761	5.856	5.959	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.037	0.066	0.108	0.149	0.180	0.223	0.277	0.304	0.356	0.391	0.452	0.484	0.537	0.609	0.678	0.743	0.821	0.853	0.917	0.976	1.024	1.082	1.126	1.205	1.263	1.312	1.370	1.432	1.499	1.567	1.643	1.729	1.792	1.859	1.912	2.005	2.094	2.153	2.210	2.299	2.357	2.401	2.495	2.602	2.704	2.785	2.858	2.934	2.990	3.072	3.157	3.251	3.360	3.431	3.535	3.559	3.642	3.692	3.766	3.863	3.928	4.005	4.070	4.089	4.133	4.214	4.289	4.297	4.362	4.455	4.529	4.619	4.700	4.765	4.831	4.870	4.959	5.019	5.091	5.209	5.296	5.372	5.398	5.449	5.477	5.505	5.608	5.697	5.792	5.894	
