0.019	0.036	0.057	0.084	0.110	0.135	0.147	0.161	0.171	0.190	0.212	0.235	0.251	0.284	0.306	0.326	0.353	0.379	0.390	0.415	0.451	0.488	0.501	0.536	0.538	0.556	0.569	0.592	0.615	0.632	0.637	0.669	0.705	0.741	0.748	0.762	0.774	0.787	0.792	0.815	0.823	0.855	0.868	0.883	0.891	0.905	0.919	0.951	0.960	0.989	1.000	
0.000	0.002	0.023	0.050	0.076	0.101	0.113	0.127	0.138	0.156	0.178	0.201	0.217	0.250	0.272	0.292	0.319	0.345	0.356	0.381	0.417	0.454	0.467	0.502	0.504	0.522	0.535	0.559	0.581	0.598	0.603	0.635	0.671	0.708	0.714	0.728	0.741	0.754	0.758	0.781	0.789	0.821	0.834	0.849	0.857	0.871	0.886	0.917	0.926	0.955	0.966	
0.000	0.000	0.019	0.047	0.072	0.098	0.109	0.123	0.134	0.153	0.174	0.197	0.213	0.246	0.268	0.288	0.315	0.342	0.353	0.377	0.414	0.450	0.463	0.499	0.501	0.518	0.531	0.555	0.577	0.594	0.599	0.632	0.667	0.704	0.710	0.724	0.737	0.750	0.755	0.778	0.785	0.817	0.830	0.846	0.854	0.867	0.882	0.914	0.922	0.951	0.962	
0.000	0.000	0.000	0.009	0.035	0.060	0.072	0.086	0.096	0.115	0.137	0.160	0.176	0.209	0.231	0.251	0.278	0.304	0.315	0.340	0.376	0.413	0.426	0.461	0.463	0.481	0.494	0.518	0.540	0.557	0.562	0.594	0.630	0.666	0.673	0.687	0.699	0.712	0.717	0.740	0.748	0.780	0.793	0.808	0.816	0.830	0.845	0.876	0.885	0.914	0.925	
0.000	0.000	0.000	0.000	0.008	0.033	0.045	0.059	0.069	0.088	0.110	0.133	0.149	0.182	0.204	0.224	0.251	0.277	0.288	0.313	0.349	0.386	0.399	0.434	0.436	0.454	0.467	0.491	0.513	0.530	0.535	0.567	0.603	0.640	0.646	0.660	0.673	0.686	0.690	0.713	0.721	0.753	0.766	0.781	0.789	0.803	0.818	0.849	0.858	0.887	0.898	
0.000	0.000	0.000	0.000	0.000	0.006	0.018	0.032	0.042	0.061	0.083	0.106	0.122	0.155	0.177	0.197	0.224	0.250	0.261	0.286	0.322	0.359	0.372	0.407	0.409	0.427	0.440	0.464	0.486	0.503	0.508	0.540	0.576	0.612	0.619	0.633	0.645	0.659	0.663	0.686	0.694	0.726	0.739	0.754	0.762	0.776	0.791	0.822	0.831	0.860	0.871	
0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.016	0.026	0.045	0.066	0.089	0.105	0.138	0.160	0.180	0.207	0.234	0.245	0.270	0.306	0.342	0.355	0.391	0.393	0.410	0.423	0.447	0.469	0.486	0.492	0.524	0.559	0.596	0.602	0.616	0.629	0.642	0.647	0.670	0.677	0.710	0.722	0.738	0.746	0.760	0.774	0.806	0.815	0.843	0.855	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.016	0.035	0.056	0.079	0.095	0.128	0.150	0.171	0.197	0.224	0.235	0.260	0.296	0.332	0.346	0.381	0.383	0.401	0.413	0.437	0.459	0.477	0.482	0.514	0.549	0.586	0.592	0.606	0.619	0.632	0.637	0.660	0.667	0.700	0.712	0.728	0.736	0.750	0.764	0.796	0.805	0.833	0.845	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.020	0.042	0.065	0.081	0.114	0.135	0.156	0.183	0.209	0.220	0.245	0.281	0.318	0.331	0.366	0.368	0.386	0.398	0.422	0.444	0.462	0.467	0.499	0.535	0.571	0.578	0.592	0.604	0.617	0.622	0.645	0.652	0.685	0.698	0.713	0.721	0.735	0.749	0.781	0.790	0.819	0.830	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.025	0.048	0.064	0.097	0.119	0.139	0.166	0.192	0.203	0.228	0.264	0.301	0.314	0.349	0.351	0.369	0.382	0.405	0.428	0.445	0.450	0.482	0.518	0.554	0.561	0.575	0.587	0.600	0.605	0.628	0.636	0.668	0.681	0.696	0.704	0.718	0.732	0.764	0.773	0.802	0.813	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.034	0.050	0.083	0.105	0.125	0.152	0.179	0.190	0.214	0.251	0.287	0.300	0.336	0.338	0.355	0.368	0.392	0.414	0.431	0.436	0.469	0.504	0.541	0.547	0.561	0.574	0.587	0.592	0.615	0.622	0.654	0.667	0.683	0.691	0.704	0.719	0.751	0.759	0.788	0.799	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.022	0.055	0.077	0.097	0.124	0.150	0.161	0.186	0.222	0.259	0.272	0.307	0.309	0.327	0.340	0.363	0.386	0.403	0.408	0.440	0.476	0.512	0.519	0.533	0.545	0.558	0.563	0.586	0.594	0.626	0.639	0.654	0.662	0.676	0.691	0.722	0.731	0.760	0.771	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.038	0.060	0.080	0.107	0.133	0.144	0.169	0.205	0.242	0.255	0.290	0.292	0.310	0.323	0.346	0.369	0.386	0.391	0.423	0.459	0.495	0.502	0.516	0.528	0.541	0.546	0.569	0.577	0.609	0.622	0.637	0.645	0.659	0.674	0.705	0.714	0.743	0.754	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.039	0.059	0.086	0.112	0.123	0.148	0.184	0.221	0.234	0.269	0.272	0.289	0.302	0.326	0.348	0.365	0.370	0.402	0.438	0.475	0.481	0.495	0.508	0.521	0.526	0.549	0.556	0.588	0.601	0.616	0.624	0.638	0.653	0.684	0.693	0.722	0.733	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.036	0.062	0.089	0.100	0.125	0.161	0.197	0.211	0.246	0.248	0.266	0.278	0.302	0.324	0.342	0.347	0.379	0.415	0.451	0.457	0.471	0.484	0.497	0.502	0.525	0.532	0.565	0.577	0.593	0.601	0.615	0.629	0.661	0.670	0.699	0.710	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.030	0.057	0.068	0.093	0.129	0.165	0.179	0.214	0.216	0.233	0.246	0.270	0.292	0.309	0.315	0.347	0.382	0.419	0.425	0.439	0.452	0.465	0.470	0.493	0.500	0.533	0.545	0.561	0.569	0.583	0.597	0.629	0.638	0.666	0.678	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.039	0.050	0.075	0.111	0.148	0.161	0.196	0.198	0.216	0.229	0.253	0.275	0.292	0.297	0.329	0.365	0.401	0.408	0.422	0.434	0.447	0.452	0.475	0.483	0.515	0.528	0.543	0.551	0.565	0.580	0.611	0.620	0.649	0.660	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.023	0.048	0.084	0.121	0.134	0.169	0.171	0.189	0.201	0.225	0.247	0.265	0.270	0.302	0.338	0.374	0.381	0.395	0.407	0.420	0.425	0.448	0.455	0.488	0.501	0.516	0.524	0.538	0.552	0.584	0.593	0.622	0.633	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.032	0.068	0.104	0.118	0.153	0.155	0.173	0.185	0.209	0.231	0.249	0.254	0.286	0.322	0.358	0.364	0.378	0.391	0.404	0.409	0.432	0.439	0.472	0.484	0.500	0.508	0.522	0.536	0.568	0.577	0.605	0.617	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.042	0.079	0.092	0.128	0.130	0.147	0.160	0.184	0.206	0.223	0.228	0.261	0.296	0.333	0.339	0.353	0.366	0.379	0.384	0.407	0.414	0.446	0.459	0.475	0.482	0.496	0.511	0.543	0.551	0.580	0.591	
